Term,2024 Fall,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 11/5/2024 9:08:31 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
18902,ANTHRO 2251,Contemporary Issues in Archaeo,View ANTHRO 2251 in Course Search ,001,Anthropology,"Monroe,Shayla",0,6,0,2,0,0,0,8
16750,ANTHRO 2679,Kings and Criminals,View ANTHRO 2679 in Course Search ,001,Anthropology,"Reddy,Malavika",0,5,0,2,0,0,0,7
16748,ANTHRO 2704,The Problem of Language,View ANTHRO 2704 in Course Search ,001,Anthropology,"Harkness,Nicholas H.",0,8,0,2,0,0,0,10
16751,ANTHRO 2800,Social Theory In/Out of Africa,View ANTHRO 2800 in Course Search ,001,Anthropology,,0,0,0,0,0,0,0,0
16752,ANTHRO 2856,"Ethnography, Biography, Novel",View ANTHRO 2856 in Course Search ,001,Anthropology,"Kleinman,Arthur",1,7,0,3,0,0,0,11
11631,ANTHRO 3000,Reading Course,View ANTHRO 3000 in Course Search ,003,Anthropology,"Carrasco,Davíd L.",0,1,0,0,0,0,0,1
11641,ANTHRO 3000,Reading Course,View ANTHRO 3000 in Course Search ,012,Anthropology,"Kleinman,Arthur",0,2,0,0,0,0,0,2
11639,ANTHRO 3000,Reading Course,View ANTHRO 3000 in Course Search ,017,Anthropology,"Puett,Michael J.",0,1,0,0,0,0,0,1
13270,ANTHRO 3001,Reading for Social Anthro,View ANTHRO 3001 in Course Search ,014,Anthropology,"Reddy,Malavika",0,1,0,0,0,0,0,1
13606,ANTHRO 3002,Reading for Archaeology,View ANTHRO 3002 in Course Search ,005,Anthropology,"Liebmann,Matt",0,2,0,0,0,0,0,2
17112,ANTHRO 3200,Dissertation Writing Workshop,View ANTHRO 3200 in Course Search ,001,Anthropology,"Reddy,Malavika",0,5,0,0,0,0,0,5
12787,ANTHRO 3400,Reading and Research,View ANTHRO 3400 in Course Search ,001,Anthropology,,0,17,0,0,0,0,0,17
12846,ANTHRO 3410,Teaching Fellowship,View ANTHRO 3410 in Course Search ,001,Anthropology,,0,12,0,0,0,0,0,12
11693,ANTHRO 3500,Direction of Doctoral,View ANTHRO 3500 in Course Search ,007,Anthropology,"Fash,Bill",0,0,0,0,0,0,0,0
13271,ANTHRO 3500,Direction of Doctoral,View ANTHRO 3500 in Course Search ,020,Anthropology,"Reddy,Malavika",0,1,0,0,0,0,0,1
13555,ANTHRO 3626,Research Design/Proposal Writi,View ANTHRO 3626 in Course Search ,001,Anthropology,"Bernstein,Anya",0,4,0,0,0,0,0,4
22459,ANTHRO 3710,"Making Live, Letting Die",View ANTHRO 3710 in Course Search ,001,Anthropology,"Fierman,Julia",0,1,0,0,0,0,0,1
11173,ANTHRO 91XR,Supervised Reading & Research,View ANTHRO 91XR in Course Search ,001,Anthropology,"Coleman,E. Gabriella",1,0,0,0,0,0,0,1
12547,ANTHRO 98A,Junior Tutorial in Anthropolog,View ANTHRO 98A in Course Search ,001,Anthropology,"Khaira,Damina",15,0,0,0,0,0,0,15
12751,ANTHRO 99A,Thesis Tutorial in Anthropolog,View ANTHRO 99A in Course Search ,001,Anthropology,"Khaira,Damina",5,0,0,0,0,0,0,5
13981,APCOMP 207,Systems Development,View APCOMP 207 in Course Search ,001,Applied Computation,,0,0,0,0,0,0,0,0
13022,APCOMP 209A,Data Science 1,View APCOMP 209A in Course Search ,001,Applied Computation,"Protopapas,Pavlos",21,91,0,9,1,0,1,123
15151,APCOMP 215,Adv Practical Data Science,View APCOMP 215 in Course Search ,001,Applied Computation,"Protopapas,Pavlos",13,80,0,41,0,1,0,135
13024,APCOMP 297R,CSE Capstone Project,View APCOMP 297R in Course Search ,001,Applied Computation,"Pan,Weiwei",0,38,0,0,0,0,0,38
13019,APCOMP 298R,Interdisciplinary Sem Apcomp,View APCOMP 298R in Course Search ,001,Applied Computation,"Pan,Weiwei",0,14,0,1,0,0,0,15
13020,APCOMP 299R,Special Topics Applied Comp,View APCOMP 299R in Course Search ,001,Applied Computation,"Weinstock,Daniel S",0,26,0,0,0,0,0,26
13021,APCOMP 302,Special Topics in CSE,View APCOMP 302 in Course Search ,001,Applied Computation,"Weinstock,Daniel S",0,41,0,0,0,0,0,41
13023,APCOMP 399-TIME,Academic Related Work SEAS,View APCOMP 399-TIME in Course Search ,001,Applied Computation,"Weinstock,Daniel S",0,40,0,0,0,0,0,40
13324,APMTH 10,Computing for Science Engineer,View APMTH 10 in Course Search ,001,Applied Mathematics,"Kaxiras,Efthimios",53,1,0,1,1,0,0,56
13033,APMTH 104,Complex & Fourier Analysis,View APMTH 104 in Course Search ,001,Applied Mathematics,"Mahadevan,L",99,3,0,0,0,0,0,102
18506,APMTH 115,Mathematical Modeling,View APMTH 115 in Course Search ,001,Applied Mathematics,"Brenner,Michael P.",42,2,0,1,0,0,0,45
13032,APMTH 121,Optimization: Models & Methods,View APMTH 121 in Course Search ,001,Applied Mathematics,"Weber,Melanie",73,1,0,0,0,0,0,74
13988,APMTH 205,Advanced Scientific Computing,View APMTH 205 in Course Search ,001,Applied Mathematics,"Trefethen,Nick",18,50,0,2,0,0,1,71
13917,APMTH 207,Advanced Scientific Computing,View APMTH 207 in Course Search ,001,Applied Mathematics,"Koumoutsakos,Petros",16,33,0,1,0,0,0,50
22578,APMTH 215,Math Modeling for Computation,View APMTH 215 in Course Search ,001,Applied Mathematics,"Brenner,Michael P.",7,62,0,0,0,1,0,70
16538,APMTH 226,Theory of Neural Computation,View APMTH 226 in Course Search ,001,Applied Mathematics,"Pehlevan,Cengiz",9,25,0,3,0,0,0,37
13035,APMTH 22A,Solving and Optimizing,View APMTH 22A in Course Search ,001,Applied Mathematics,"Levine,Margo",42,0,0,0,0,0,0,42
20217,APMTH 254,Math of High-Dimensional Info,View APMTH 254 in Course Search ,001,Applied Mathematics,"Lu,Yue",6,6,0,0,0,0,0,12
13027,APMTH 299R,Special Topics in Applied Math,View APMTH 299R in Course Search ,001,Applied Mathematics,"Lu,Yue",0,4,0,1,0,0,0,5
13026,APMTH 318,Special Topics in Physical Mat,View APMTH 318 in Course Search ,001,Applied Mathematics,"Brenner,Michael P.",0,1,0,0,0,0,0,1
13029,APMTH 320,Topics in Macroscopic Physics,View APMTH 320 in Course Search ,001,Applied Mathematics,"Mahadevan,L",0,2,0,0,0,0,0,2
13034,APMTH 326,Theoretical Neuroscience,View APMTH 326 in Course Search ,001,Applied Mathematics,"Pehlevan,Cengiz",0,10,0,0,0,0,0,10
20771,APMTH 327,Numerical Algorithms,View APMTH 327 in Course Search ,001,Applied Mathematics,"Trefethen,Nick",0,2,0,2,0,0,0,4
13775,APMTH 328,Advanced Computational Science,View APMTH 328 in Course Search ,001,Applied Mathematics,"Koumoutsakos,Petros",0,2,0,0,0,0,0,2
15198,APMTH 336,Geometry and Machine Learning,View APMTH 336 in Course Search ,001,Applied Mathematics,"Weber,Melanie",0,2,0,0,0,0,0,2
15227,APMTH 338,Applied Algebra,View APMTH 338 in Course Search ,001,Applied Mathematics,"Seigal,Anna",0,2,0,0,0,0,0,2
13031,APMTH 91R,Supervised Reading & Research,View APMTH 91R in Course Search ,001,Applied Mathematics,"Levine,Margo",10,0,0,0,0,0,0,10
13030,APMTH 99R,Thesis Research,View APMTH 99R in Course Search ,001,Applied Mathematics,"Levine,Margo",5,0,0,0,0,0,0,5
13064,APPHY 195A,Intro to Solid State Physics,View APPHY 195A in Course Search ,001,Applied Physics,"Mundy,Julia A.",1,5,0,0,0,0,0,6
16539,APPHY 217,Foundations of Modern Optics,View APPHY 217 in Course Search ,001,Applied Physics,"Hau,Lene V.",1,15,0,1,0,0,0,17
16540,APPHY 218,"Elect, Optic, & Magn Prop of M",View APPHY 218 in Course Search ,001,Applied Physics,"Li,Xin",2,17,0,0,0,0,0,19
16541,APPHY 225,Introduction to Soft Matter,View APPHY 225 in Course Search ,001,Applied Physics,"Weitz,David A.",3,15,0,1,0,0,0,19
13562,APPHY 235,Chemistry in Materials Science,View APPHY 235 in Course Search ,001,Applied Physics,"Aizenberg,Joanna",2,8,0,0,0,0,0,10
13916,APPHY 242,Intro Single-Molecule Biophys,View APPHY 242 in Course Search ,001,Applied Physics,"Prigozhin,Maxim",6,3,0,0,0,0,0,9
16542,APPHY 282,Solids: Structure and Defects,View APPHY 282 in Course Search ,001,Applied Physics,"Spaepen,Frans A.",0,4,0,0,0,0,0,4
13567,APPHY 284,Statistical Mechanics,View APPHY 284 in Course Search ,001,Applied Physics,"Manoharan,Vinothan N",0,14,0,0,0,0,0,14
13065,APPHY 295A,Quantum Theory of Solids,View APPHY 295A in Course Search ,001,Applied Physics,"Sachdev,Subir",0,3,0,0,0,0,0,3
13036,APPHY 299R,Special Topics Applied Physics,View APPHY 299R in Course Search ,001,Applied Physics,"Capasso,Federico",0,15,0,0,0,0,0,15
13061,APPHY 302,Applied Condensed Matter Phys,View APPHY 302 in Course Search ,001,Applied Physics,"Ham,Donhee",0,1,0,0,0,0,0,1
13060,APPHY 304,Materials Science of Biologica,View APPHY 304 in Course Search ,001,Applied Physics,"Aizenberg,Joanna",0,6,0,0,0,0,0,6
13018,APPHY 320,Electron Microscopy,View APPHY 320 in Course Search ,001,Applied Physics,"Prigozhin,Maxim",0,3,0,0,0,0,0,3
13059,APPHY 322,Materials Physics and,View APPHY 322 in Course Search ,001,Applied Physics,"Clarke,David",0,1,0,0,0,0,0,1
13049,APPHY 326,Optics with Cold Atoms,View APPHY 326 in Course Search ,001,Applied Physics,"Hau,Lene V.",0,2,0,0,0,0,0,2
13058,APPHY 330,Hetero Nano Devices & Bio-temp,View APPHY 330 in Course Search ,001,Applied Physics,"Hu,Evelyn",0,5,0,0,0,0,0,5
13040,APPHY 332,Exp Condensed Matter Physics,View APPHY 332 in Course Search ,001,Applied Physics,"Westervelt,Robert M.",0,2,0,0,0,0,0,2
13055,APPHY 342,"Nano-Lasers, Single-Photon Sou",View APPHY 342 in Course Search ,001,Applied Physics,"Loncar,Marko",0,14,0,0,0,0,0,14
13042,APPHY 350,Exp Physics in Low Dimen Mater,View APPHY 350 in Course Search ,001,Applied Physics,"Kim,Philip",0,6,0,0,0,0,0,6
